implementing_agency_name,numeric_year,country_name,dac_category_name,region_name,income_group_name,constant_amount
Department of Energy,2012,Brazil,Infrastructure,Western Hemisphere,Upper Middle Income Country,319987
Department of Energy,2012,Kenya,Governance,Sub-Saharan Africa,Lower Middle Income Country,1450691
Department of Energy,2012,Kenya,Infrastructure,Sub-Saharan Africa,Lower Middle Income Country,281929
Department of Energy,2012,Nigeria,Infrastructure,Sub-Saharan Africa,Lower Middle Income Country,381197
Department of Energy,2012,Vietnam,Governance,East Asia and Oceania,Lower Middle Income Country,7290981
Department of Energy,2012,Vietnam,Infrastructure,East Asia and Oceania,Lower Middle Income Country,10867848
Department of Energy,2013,Brazil,Infrastructure,Western Hemisphere,Upper Middle Income Country,122731
Department of Energy,2013,Kenya,Governance,Sub-Saharan Africa,Lower Middle Income Country,681001
Department of Energy,2013,Kenya,Infrastructure,Sub-Saharan Africa,Lower Middle Income Country,431107
Department of Energy,2013,Nigeria,Infrastructure,Sub-Saharan Africa,Lower Middle Income Country,523673
Department of Energy,2013,Vietnam,Governance,East Asia and Oceania,Lower Middle Income Country,2824007
Department of Energy,2013,Vietnam,Infrastructure,East Asia and Oceania,Lower Middle Income Country,18538864
Department of Energy,2014,Brazil,Infrastructure,Western Hemisphere,Upper Middle Income Country,108576
Department of Energy,2014,Kenya,Governance,Sub-Saharan Africa,Lower Middle Income Country,446069
Department of Energy,2014,Kenya,Infrastructure,Sub-Saharan Africa,Lower Middle Income Country,526952
Department of Energy,2014,Nigeria,Infrastructure,Sub-Saharan Africa,Lower Middle Income Country,111993
Department of Energy,2014,Vietnam,Governance,East Asia and Oceania,Lower Middle Income Country,480520
Department of Energy,2014,Vietnam,Infrastructure,East Asia and Oceania,Lower Middle Income Country,1662912
Department of Energy,2015,Brazil,Economic Growth,Western Hemisphere,Upper Middle Income Country,178606
Department of Energy,2015,Brazil,Infrastructure,Western Hemisphere,Upper Middle Income Country,459993
Department of Energy,2015,Kenya,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,165956
Department of Energy,2015,Kenya,Governance,Sub-Saharan Africa,Lower Middle Income Country,451143
Department of Energy,2015,Kenya,Infrastructure,Sub-Saharan Africa,Lower Middle Income Country,375304
Department of Energy,2015,Vietnam,Economic Growth,East Asia and Oceania,Lower Middle Income Country,117384
Department of Energy,2015,Vietnam,Governance,East Asia and Oceania,Lower Middle Income Country,524243
Department of Energy,2015,Vietnam,Infrastructure,East Asia and Oceania,Lower Middle Income Country,1868192
Department of Labor,2003,Brazil,Governance,Western Hemisphere,Upper Middle Income Country,12217071
Department of Labor,2004,Brazil,Governance,Western Hemisphere,Upper Middle Income Country,1882752
Department of Labor,2004,Kenya,Governance,Sub-Saharan Africa,Lower Middle Income Country,6275839
Department of Labor,2005,Brazil,Governance,Western Hemisphere,Upper Middle Income Country,2433882
Department of Labor,2005,Nigeria,Health and Population,Sub-Saharan Africa,Lower Middle Income Country,138517
Department of Labor,2005,Vietnam,Health and Population,East Asia and Oceania,Lower Middle Income Country,721512
Department of Labor,2006,Nigeria,Health and Population,Sub-Saharan Africa,Lower Middle Income Country,176604
Department of Labor,2006,Vietnam,Health and Population,East Asia and Oceania,Lower Middle Income Country,271077
Department of Labor,2007,Nigeria,Health and Population,Sub-Saharan Africa,Lower Middle Income Country,272976
Department of Labor,2007,Vietnam,Health and Population,East Asia and Oceania,Lower Middle Income Country,222638
Department of Labor,2008,Brazil,Governance,Western Hemisphere,Upper Middle Income Country,5508225
Department of Labor,2008,Nigeria,Health and Population,Sub-Saharan Africa,Lower Middle Income Country,123026
Department of Labor,2008,Vietnam,Health and Population,East Asia and Oceania,Lower Middle Income Country,143993
Department of Labor,2009,Kenya,Governance,Sub-Saharan Africa,Lower Middle Income Country,5111520
Department of Labor,2011,Vietnam,Governance,East Asia and Oceania,Lower Middle Income Country,2309787
Department of Labor,2012,Vietnam,Governance,East Asia and Oceania,Lower Middle Income Country,1060204
Department of Labor,2013,Vietnam,Governance,East Asia and Oceania,Lower Middle Income Country,521299
Department of Labor,2015,Vietnam,Governance,East Asia and Oceania,Lower Middle Income Country,673037
