,implementing_agency_name,numeric_year,country_name,dac_category_name,region_name,income_group_name,constant_amount
27,African Development Foundation,2002,Nigeria,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,388579
28,African Development Foundation,2002,Nigeria,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,1518544
29,African Development Foundation,2002,Nigeria,Governance,Sub-Saharan Africa,Lower Middle Income Country,428055
30,African Development Foundation,2002,Nigeria,Health and Population,Sub-Saharan Africa,Lower Middle Income Country,165340
33,African Development Foundation,2002,Tanzania,Governance,Sub-Saharan Africa,Low Income Country,500794
34,African Development Foundation,2002,Tanzania,Health and Population,Sub-Saharan Africa,Low Income Country,384980
35,African Development Foundation,2002,Uganda,Economic Growth,Sub-Saharan Africa,Low Income Country,1121214
36,African Development Foundation,2002,Zimbabwe,Education,Sub-Saharan Africa,Low Income Country,187254
37,African Development Foundation,2002,Zimbabwe,Governance,Sub-Saharan Africa,Low Income Country,374420
38,African Development Foundation,2002,Zimbabwe,Health and Population,Sub-Saharan Africa,Low Income Country,164209
39,African Development Foundation,2002,Zimbabwe,Other,Sub-Saharan Africa,Low Income Country,380109
41,African Development Foundation,2003,Benin,Economic Growth,Sub-Saharan Africa,Low Income Country,656357
42,African Development Foundation,2003,Benin,Health and Population,Sub-Saharan Africa,Low Income Country,315722
43,African Development Foundation,2003,Botswana,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,1145062
44,African Development Foundation,2003,Botswana,Governance,Sub-Saharan Africa,Upper Middle Income Country,102331
46,African Development Foundation,2003,CapeVerde,Health and Population,Sub-Saharan Africa,Lower Middle Income Country,112207
47,African Development Foundation,2003,Ghana,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,953277
48,African Development Foundation,2003,Ghana,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,320415
50,African Development Foundation,2003,Guinea,Agriculture,Sub-Saharan Africa,Low Income Country,287511
51,African Development Foundation,2003,Guinea,Economic Growth,Sub-Saharan Africa,Low Income Country,172529
55,African Development Foundation,2003,Guinea,Other,Sub-Saharan Africa,Low Income Country,572541
56,African Development Foundation,2003,Namibia,Agriculture,Sub-Saharan Africa,Upper Middle Income Country,321565
57,African Development Foundation,2003,Namibia,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,831853
58,African Development Foundation,2003,Namibia,Other,Sub-Saharan Africa,Upper Middle Income Country,106344
59,African Development Foundation,2003,Niger,Economic Growth,Sub-Saharan Africa,Low Income Country,225373
60,African Development Foundation,2003,Niger,Governance,Sub-Saharan Africa,Low Income Country,331998
64,African Development Foundation,2003,Senegal,Economic Growth,Sub-Saharan Africa,Low Income Country,596704
65,African Development Foundation,2003,Senegal,Other,Sub-Saharan Africa,Low Income Country,154331
66,African Development Foundation,2003,Tanzania,Economic Growth,Sub-Saharan Africa,Low Income Country,301622
67,African Development Foundation,2003,Uganda,Agriculture,Sub-Saharan Africa,Low Income Country,753242
68,African Development Foundation,2003,Uganda,Economic Growth,Sub-Saharan Africa,Low Income Country,637418
70,African Development Foundation,2003,Zimbabwe,Economic Growth,Sub-Saharan Africa,Low Income Country,214010
72,African Development Foundation,2003,Zimbabwe,Health and Population,Sub-Saharan Africa,Low Income Country,401467
73,African Development Foundation,2004,Benin,Agriculture,Sub-Saharan Africa,Low Income Country,199658
74,African Development Foundation,2004,Benin,Economic Growth,Sub-Saharan Africa,Low Income Country,283963
76,African Development Foundation,2004,Benin,Other,Sub-Saharan Africa,Low Income Country,501137
77,African Development Foundation,2004,Botswana,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,500459
81,African Development Foundation,2004,Ghana,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,713700
82,African Development Foundation,2004,Ghana,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,930621
84,African Development Foundation,2004,Ghana,Governance,Sub-Saharan Africa,Lower Middle Income Country,123564
85,African Development Foundation,2004,Ghana,Other,Sub-Saharan Africa,Lower Middle Income Country,138471
86,African Development Foundation,2004,Guinea,Agriculture,Sub-Saharan Africa,Low Income Country,165189
87,African Development Foundation,2004,Guinea,Economic Growth,Sub-Saharan Africa,Low Income Country,186839
91,African Development Foundation,2004,Guinea,Other,Sub-Saharan Africa,Low Income Country,561156
92,African Development Foundation,2004,Mali,Agriculture,Sub-Saharan Africa,Low Income Country,301806
93,African Development Foundation,2004,Mali,Economic Growth,Sub-Saharan Africa,Low Income Country,332560
95,African Development Foundation,2004,Mali,Other,Sub-Saharan Africa,Low Income Country,255888
96,African Development Foundation,2004,Namibia,Agriculture,Sub-Saharan Africa,Upper Middle Income Country,274673
97,African Development Foundation,2004,Namibia,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,749579
98,African Development Foundation,2004,Namibia,Other,Sub-Saharan Africa,Upper Middle Income Country,152889
99,African Development Foundation,2004,Niger,Agriculture,Sub-Saharan Africa,Low Income Country,138502
100,African Development Foundation,2004,Niger,Economic Growth,Sub-Saharan Africa,Low Income Country,293242
101,African Development Foundation,2004,Niger,Governance,Sub-Saharan Africa,Low Income Country,122167
103,African Development Foundation,2004,Niger,Other,Sub-Saharan Africa,Low Income Country,184200
104,African Development Foundation,2004,Nigeria,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,118348
105,African Development Foundation,2004,Nigeria,Governance,Sub-Saharan Africa,Lower Middle Income Country,398832
106,African Development Foundation,2004,Nigeria,Other,Sub-Saharan Africa,Lower Middle Income Country,382162
108,African Development Foundation,2004,Senegal,Economic Growth,Sub-Saharan Africa,Low Income Country,368533
111,African Development Foundation,2004,Tanzania,Economic Growth,Sub-Saharan Africa,Low Income Country,457204
114,African Development Foundation,2004,Uganda,Agriculture,Sub-Saharan Africa,Low Income Country,564278
115,African Development Foundation,2004,Uganda,Economic Growth,Sub-Saharan Africa,Low Income Country,1049304
117,African Development Foundation,2004,Zambia,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,121033
118,African Development Foundation,2004,Zimbabwe,Agriculture,Sub-Saharan Africa,Low Income Country,306469
119,African Development Foundation,2004,Zimbabwe,Economic Growth,Sub-Saharan Africa,Low Income Country,258254
121,African Development Foundation,2004,Zimbabwe,Health and Population,Sub-Saharan Africa,Low Income Country,180578
123,African Development Foundation,2005,Benin,Agriculture,Sub-Saharan Africa,Low Income Country,114707
124,African Development Foundation,2005,Benin,Economic Growth,Sub-Saharan Africa,Low Income Country,401604
125,African Development Foundation,2005,Benin,Health and Population,Sub-Saharan Africa,Low Income Country,266914
126,African Development Foundation,2005,Benin,Other,Sub-Saharan Africa,Low Income Country,630618
127,African Development Foundation,2005,Botswana,Agriculture,Sub-Saharan Africa,Upper Middle Income Country,129013
128,African Development Foundation,2005,Botswana,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,571890
130,African Development Foundation,2005,Botswana,Other,Sub-Saharan Africa,Upper Middle Income Country,253554
133,African Development Foundation,2005,Ghana,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,102437
134,African Development Foundation,2005,Ghana,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,977691
136,African Development Foundation,2005,Ghana,Governance,Sub-Saharan Africa,Lower Middle Income Country,100909
137,African Development Foundation,2005,Ghana,Other,Sub-Saharan Africa,Lower Middle Income Country,418484
138,African Development Foundation,2005,Guinea,Agriculture,Sub-Saharan Africa,Low Income Country,212813
141,African Development Foundation,2005,Guinea,Other,Sub-Saharan Africa,Low Income Country,236465
142,African Development Foundation,2005,Mali,Agriculture,Sub-Saharan Africa,Low Income Country,385949
143,African Development Foundation,2005,Mali,Economic Growth,Sub-Saharan Africa,Low Income Country,753203
144,African Development Foundation,2005,Mali,Health and Population,Sub-Saharan Africa,Low Income Country,235725
145,African Development Foundation,2005,Mali,Infrastructure,Sub-Saharan Africa,Low Income Country,192630
146,African Development Foundation,2005,Mali,Other,Sub-Saharan Africa,Low Income Country,107812
147,African Development Foundation,2005,Namibia,Agriculture,Sub-Saharan Africa,Upper Middle Income Country,548312
148,African Development Foundation,2005,Namibia,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,439407
149,African Development Foundation,2005,Niger,Agriculture,Sub-Saharan Africa,Low Income Country,336814
150,African Development Foundation,2005,Niger,Economic Growth,Sub-Saharan Africa,Low Income Country,570735
152,African Development Foundation,2005,Niger,Other,Sub-Saharan Africa,Low Income Country,282054
154,African Development Foundation,2005,Nigeria,Governance,Sub-Saharan Africa,Lower Middle Income Country,104968
155,African Development Foundation,2005,Nigeria,Other,Sub-Saharan Africa,Lower Middle Income Country,481752
157,African Development Foundation,2005,Senegal,Economic Growth,Sub-Saharan Africa,Low Income Country,682248
159,African Development Foundation,2005,Swaziland,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,210638
160,African Development Foundation,2005,Tanzania,Agriculture,Sub-Saharan Africa,Low Income Country,888918
161,African Development Foundation,2005,Tanzania,Economic Growth,Sub-Saharan Africa,Low Income Country,390010
163,African Development Foundation,2005,Tanzania,Other,Sub-Saharan Africa,Low Income Country,402934
164,African Development Foundation,2005,Uganda,Agriculture,Sub-Saharan Africa,Low Income Country,361667
165,African Development Foundation,2005,Uganda,Economic Growth,Sub-Saharan Africa,Low Income Country,938452
166,African Development Foundation,2005,Uganda,Other,Sub-Saharan Africa,Low Income Country,113814
167,African Development Foundation,2005,Zambia,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,100150
168,African Development Foundation,2005,Zambia,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,134259
170,African Development Foundation,2005,Zimbabwe,Economic Growth,Sub-Saharan Africa,Low Income Country,202672
172,African Development Foundation,2005,Zimbabwe,Health and Population,Sub-Saharan Africa,Low Income Country,201123
173,African Development Foundation,2005,Zimbabwe,Other,Sub-Saharan Africa,Low Income Country,141459
174,African Development Foundation,2006,Benin,Economic Growth,Sub-Saharan Africa,Low Income Country,291556
176,African Development Foundation,2006,Benin,Other,Sub-Saharan Africa,Low Income Country,261473
177,African Development Foundation,2006,Botswana,Agriculture,Sub-Saharan Africa,Upper Middle Income Country,248393
178,African Development Foundation,2006,Botswana,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,304201
180,African Development Foundation,2006,Botswana,Other,Sub-Saharan Africa,Upper Middle Income Country,347385
181,African Development Foundation,2006,CapeVerde,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,259100
182,African Development Foundation,2006,CapeVerde,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,355309
183,African Development Foundation,2006,CapeVerde,Other,Sub-Saharan Africa,Lower Middle Income Country,164316
184,African Development Foundation,2006,Ghana,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,454905
185,African Development Foundation,2006,Ghana,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,881698
187,African Development Foundation,2006,Ghana,Other,Sub-Saharan Africa,Lower Middle Income Country,809721
190,African Development Foundation,2006,Guinea,Other,Sub-Saharan Africa,Low Income Country,495069
192,African Development Foundation,2006,Mali,Economic Growth,Sub-Saharan Africa,Low Income Country,136225
193,African Development Foundation,2006,Mali,Health and Population,Sub-Saharan Africa,Low Income Country,131845
195,African Development Foundation,2006,Mali,Other,Sub-Saharan Africa,Low Income Country,127714
197,African Development Foundation,2006,Namibia,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,201293
198,African Development Foundation,2006,Niger,Agriculture,Sub-Saharan Africa,Low Income Country,199474
199,African Development Foundation,2006,Niger,Economic Growth,Sub-Saharan Africa,Low Income Country,193876
201,African Development Foundation,2006,Niger,Other,Sub-Saharan Africa,Low Income Country,261374
202,African Development Foundation,2006,Nigeria,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,167843
203,African Development Foundation,2006,Nigeria,Governance,Sub-Saharan Africa,Lower Middle Income Country,1467324
204,African Development Foundation,2006,Nigeria,Other,Sub-Saharan Africa,Lower Middle Income Country,423018
207,African Development Foundation,2006,Senegal,Agriculture,Sub-Saharan Africa,Low Income Country,163022
208,African Development Foundation,2006,Senegal,Economic Growth,Sub-Saharan Africa,Low Income Country,306055
209,African Development Foundation,2006,Senegal,Other,Sub-Saharan Africa,Low Income Country,182138
213,African Development Foundation,2006,Swaziland,Other,Sub-Saharan Africa,Lower Middle Income Country,177450
214,African Development Foundation,2006,Tanzania,Agriculture,Sub-Saharan Africa,Low Income Country,408464
215,African Development Foundation,2006,Tanzania,Economic Growth,Sub-Saharan Africa,Low Income Country,275332
216,African Development Foundation,2006,Tanzania,Governance,Sub-Saharan Africa,Low Income Country,143827
217,African Development Foundation,2006,Tanzania,Other,Sub-Saharan Africa,Low Income Country,323647
218,African Development Foundation,2006,Uganda,Agriculture,Sub-Saharan Africa,Low Income Country,291070
219,African Development Foundation,2006,Uganda,Economic Growth,Sub-Saharan Africa,Low Income Country,253942
220,African Development Foundation,2006,Uganda,Other,Sub-Saharan Africa,Low Income Country,580554
221,African Development Foundation,2006,Zambia,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,733336
222,African Development Foundation,2006,Zambia,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,563553
224,African Development Foundation,2006,Zimbabwe,Other,Sub-Saharan Africa,Low Income Country,122359
225,African Development Foundation,2007,Benin,Economic Growth,Sub-Saharan Africa,Low Income Country,341976
228,African Development Foundation,2007,Botswana,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,243971
230,African Development Foundation,2007,Botswana,Other,Sub-Saharan Africa,Upper Middle Income Country,409968
231,African Development Foundation,2007,CapeVerde,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,423440
232,African Development Foundation,2007,CapeVerde,Infrastructure,Sub-Saharan Africa,Lower Middle Income Country,259662
233,African Development Foundation,2007,CapeVerde,Other,Sub-Saharan Africa,Lower Middle Income Country,242688
234,African Development Foundation,2007,Ghana,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,274120
235,African Development Foundation,2007,Ghana,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,776038
237,African Development Foundation,2007,Ghana,Other,Sub-Saharan Africa,Lower Middle Income Country,968921
238,African Development Foundation,2007,Guinea,Agriculture,Sub-Saharan Africa,Low Income Country,154774
240,African Development Foundation,2007,Guinea,Other,Sub-Saharan Africa,Low Income Country,1528657
242,African Development Foundation,2007,Liberia,Economic Growth,Sub-Saharan Africa,Low Income Country,500051
243,African Development Foundation,2007,Mali,Agriculture,Sub-Saharan Africa,Low Income Country,323335
244,African Development Foundation,2007,Mali,Economic Growth,Sub-Saharan Africa,Low Income Country,512277
249,African Development Foundation,2007,Namibia,Other,Sub-Saharan Africa,Upper Middle Income Country,110315
250,African Development Foundation,2007,Niger,Agriculture,Sub-Saharan Africa,Low Income Country,350086
251,African Development Foundation,2007,Niger,Economic Growth,Sub-Saharan Africa,Low Income Country,112425
253,African Development Foundation,2007,Niger,Other,Sub-Saharan Africa,Low Income Country,228101
254,African Development Foundation,2007,Nigeria,Administrative Costs,Sub-Saharan Africa,Lower Middle Income Country,205131
258,African Development Foundation,2007,Nigeria,Other,Sub-Saharan Africa,Lower Middle Income Country,149140
259,African Development Foundation,2007,Rwanda,Agriculture,Sub-Saharan Africa,Low Income Country,132652
260,African Development Foundation,2007,Rwanda,Economic Growth,Sub-Saharan Africa,Low Income Country,169466
261,African Development Foundation,2007,Rwanda,Other,Sub-Saharan Africa,Low Income Country,124981
262,African Development Foundation,2007,Senegal,Agriculture,Sub-Saharan Africa,Low Income Country,139195
263,African Development Foundation,2007,Senegal,Economic Growth,Sub-Saharan Africa,Low Income Country,421559
264,African Development Foundation,2007,Senegal,Other,Sub-Saharan Africa,Low Income Country,190983
265,African Development Foundation,2007,Swaziland,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,139862
266,African Development Foundation,2007,Swaziland,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,207275
268,African Development Foundation,2007,Swaziland,Other,Sub-Saharan Africa,Lower Middle Income Country,157583
269,African Development Foundation,2007,Tanzania,Administrative Costs,Sub-Saharan Africa,Low Income Country,104602
270,African Development Foundation,2007,Tanzania,Agriculture,Sub-Saharan Africa,Low Income Country,391825
271,African Development Foundation,2007,Tanzania,Economic Growth,Sub-Saharan Africa,Low Income Country,294049
273,African Development Foundation,2007,Tanzania,Other,Sub-Saharan Africa,Low Income Country,276816
274,African Development Foundation,2007,Uganda,Administrative Costs,Sub-Saharan Africa,Low Income Country,261333
275,African Development Foundation,2007,Uganda,Agriculture,Sub-Saharan Africa,Low Income Country,230625
276,African Development Foundation,2007,Uganda,Economic Growth,Sub-Saharan Africa,Low Income Country,267774
280,African Development Foundation,2007,Zambia,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,443882
281,African Development Foundation,2007,Zambia,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,343186
283,African Development Foundation,2008,Benin,Economic Growth,Sub-Saharan Africa,Low Income Country,162136
286,African Development Foundation,2008,Botswana,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,299144
287,African Development Foundation,2008,Botswana,Other,Sub-Saharan Africa,Upper Middle Income Country,494129
288,African Development Foundation,2008,Burundi,Agriculture,Sub-Saharan Africa,Low Income Country,176251
290,African Development Foundation,2008,CapeVerde,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,561268
293,African Development Foundation,2008,Ghana,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,339891
294,African Development Foundation,2008,Ghana,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,1147250
297,African Development Foundation,2008,Ghana,Other,Sub-Saharan Africa,Lower Middle Income Country,504326
298,African Development Foundation,2008,Guinea,Administrative Costs,Sub-Saharan Africa,Low Income Country,151833
299,African Development Foundation,2008,Guinea,Agriculture,Sub-Saharan Africa,Low Income Country,317612
300,African Development Foundation,2008,Guinea,Economic Growth,Sub-Saharan Africa,Low Income Country,226974
301,African Development Foundation,2008,Guinea,Governance,Sub-Saharan Africa,Low Income Country,125837
302,African Development Foundation,2008,Guinea,Other,Sub-Saharan Africa,Low Income Country,795089
303,African Development Foundation,2008,Liberia,Agriculture,Sub-Saharan Africa,Low Income Country,219224
304,African Development Foundation,2008,Liberia,Economic Growth,Sub-Saharan Africa,Low Income Country,582078
306,African Development Foundation,2008,Mali,Agriculture,Sub-Saharan Africa,Low Income Country,248355
307,African Development Foundation,2008,Mali,Economic Growth,Sub-Saharan Africa,Low Income Country,1127497
308,African Development Foundation,2008,Mali,Health and Population,Sub-Saharan Africa,Low Income Country,102713
309,African Development Foundation,2008,Mali,Other,Sub-Saharan Africa,Low Income Country,238458
313,African Development Foundation,2008,Niger,Agriculture,Sub-Saharan Africa,Low Income Country,306430
315,African Development Foundation,2008,Niger,Other,Sub-Saharan Africa,Low Income Country,356234
316,African Development Foundation,2008,Nigeria,Administrative Costs,Sub-Saharan Africa,Lower Middle Income Country,386967
317,African Development Foundation,2008,Nigeria,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,122303
318,African Development Foundation,2008,Nigeria,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,656627
320,African Development Foundation,2008,Nigeria,Other,Sub-Saharan Africa,Lower Middle Income Country,192703
321,African Development Foundation,2008,Rwanda,Agriculture,Sub-Saharan Africa,Low Income Country,461500
322,African Development Foundation,2008,Rwanda,Economic Growth,Sub-Saharan Africa,Low Income Country,248565
323,African Development Foundation,2008,Rwanda,Other,Sub-Saharan Africa,Low Income Country,349095
324,African Development Foundation,2008,Senegal,Agriculture,Sub-Saharan Africa,Low Income Country,205232
325,African Development Foundation,2008,Senegal,Economic Growth,Sub-Saharan Africa,Low Income Country,146030
328,African Development Foundation,2008,Swaziland,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,109848
330,African Development Foundation,2008,Swaziland,Other,Sub-Saharan Africa,Lower Middle Income Country,168354
331,African Development Foundation,2008,Tanzania,Administrative Costs,Sub-Saharan Africa,Low Income Country,567325
332,African Development Foundation,2008,Tanzania,Agriculture,Sub-Saharan Africa,Low Income Country,275341
333,African Development Foundation,2008,Tanzania,Economic Growth,Sub-Saharan Africa,Low Income Country,1017495
335,African Development Foundation,2008,Uganda,Administrative Costs,Sub-Saharan Africa,Low Income Country,391208
336,African Development Foundation,2008,Uganda,Agriculture,Sub-Saharan Africa,Low Income Country,127247
337,African Development Foundation,2008,Uganda,Economic Growth,Sub-Saharan Africa,Low Income Country,277619
340,African Development Foundation,2008,Uganda,Infrastructure,Sub-Saharan Africa,Low Income Country,163013
341,African Development Foundation,2008,Zambia,Administrative Costs,Sub-Saharan Africa,Lower Middle Income Country,383496
342,African Development Foundation,2008,Zambia,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,169777
343,African Development Foundation,2008,Zambia,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,791655
344,African Development Foundation,2009,Benin,Agriculture,Sub-Saharan Africa,Low Income Country,125258
346,African Development Foundation,2009,Botswana,Agriculture,Sub-Saharan Africa,Upper Middle Income Country,334273
347,African Development Foundation,2009,Botswana,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,537639
348,African Development Foundation,2009,Botswana,Other,Sub-Saharan Africa,Upper Middle Income Country,686382
351,African Development Foundation,2009,Burundi,Agriculture,Sub-Saharan Africa,Low Income Country,204498
352,African Development Foundation,2009,Burundi,Economic Growth,Sub-Saharan Africa,Low Income Country,593572
355,African Development Foundation,2009,CapeVerde,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,172464
357,African Development Foundation,2009,CapeVerde,Other,Sub-Saharan Africa,Lower Middle Income Country,233345
358,African Development Foundation,2009,Ghana,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,407582
359,African Development Foundation,2009,Ghana,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,592347
360,African Development Foundation,2009,Ghana,Other,Sub-Saharan Africa,Lower Middle Income Country,656877
361,African Development Foundation,2009,Guinea,Administrative Costs,Sub-Saharan Africa,Low Income Country,103810
362,African Development Foundation,2009,Guinea,Agriculture,Sub-Saharan Africa,Low Income Country,140065
363,African Development Foundation,2009,Guinea,Economic Growth,Sub-Saharan Africa,Low Income Country,196336
364,African Development Foundation,2009,Guinea,Governance,Sub-Saharan Africa,Low Income Country,332355
368,African Development Foundation,2009,Liberia,Agriculture,Sub-Saharan Africa,Low Income Country,174813
369,African Development Foundation,2009,Liberia,Economic Growth,Sub-Saharan Africa,Low Income Country,147398
370,African Development Foundation,2009,Liberia,Health and Population,Sub-Saharan Africa,Low Income Country,217048
372,African Development Foundation,2009,Malawi,Agriculture,Sub-Saharan Africa,Low Income Country,416388
373,African Development Foundation,2009,Malawi,Economic Growth,Sub-Saharan Africa,Low Income Country,100115
374,African Development Foundation,2009,Malawi,Other,Sub-Saharan Africa,Low Income Country,399767
375,African Development Foundation,2009,Mali,Agriculture,Sub-Saharan Africa,Low Income Country,373252
376,African Development Foundation,2009,Mali,Economic Growth,Sub-Saharan Africa,Low Income Country,217023
378,African Development Foundation,2009,Mali,Other,Sub-Saharan Africa,Low Income Country,333784
382,African Development Foundation,2009,Niger,Agriculture,Sub-Saharan Africa,Low Income Country,1246270
384,African Development Foundation,2009,Niger,Other,Sub-Saharan Africa,Low Income Country,118481
386,African Development Foundation,2009,Nigeria,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,398127
387,African Development Foundation,2009,Nigeria,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,301930
388,African Development Foundation,2009,Nigeria,Governance,Sub-Saharan Africa,Lower Middle Income Country,975615
389,African Development Foundation,2009,Nigeria,Other,Sub-Saharan Africa,Lower Middle Income Country,280548
390,African Development Foundation,2009,Rwanda,Agriculture,Sub-Saharan Africa,Low Income Country,515902
391,African Development Foundation,2009,Rwanda,Economic Growth,Sub-Saharan Africa,Low Income Country,131255
392,African Development Foundation,2009,Rwanda,Other,Sub-Saharan Africa,Low Income Country,622704
393,African Development Foundation,2009,Senegal,Agriculture,Sub-Saharan Africa,Low Income Country,194920
396,African Development Foundation,2009,Senegal,Other,Sub-Saharan Africa,Low Income Country,310390
398,African Development Foundation,2009,Swaziland,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,269166
399,African Development Foundation,2009,Swaziland,Other,Sub-Saharan Africa,Lower Middle Income Country,182315
401,African Development Foundation,2009,Tanzania,Agriculture,Sub-Saharan Africa,Low Income Country,1134485
402,African Development Foundation,2009,Tanzania,Economic Growth,Sub-Saharan Africa,Low Income Country,435236
403,African Development Foundation,2009,Tanzania,Other,Sub-Saharan Africa,Low Income Country,482980
405,African Development Foundation,2009,Uganda,Agriculture,Sub-Saharan Africa,Low Income Country,1071390
406,African Development Foundation,2009,Uganda,Economic Growth,Sub-Saharan Africa,Low Income Country,186527
407,African Development Foundation,2009,Uganda,Governance,Sub-Saharan Africa,Low Income Country,120194
409,African Development Foundation,2009,Uganda,Other,Sub-Saharan Africa,Low Income Country,263420
410,African Development Foundation,2009,Zambia,Administrative Costs,Sub-Saharan Africa,Lower Middle Income Country,458856
411,African Development Foundation,2009,Zambia,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,916901
412,African Development Foundation,2009,Zambia,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,1046268
414,African Development Foundation,2010,Benin,Agriculture,Sub-Saharan Africa,Low Income Country,602098
416,African Development Foundation,2010,Benin,Economic Growth,Sub-Saharan Africa,Low Income Country,155752
417,African Development Foundation,2010,Benin,Governance,Sub-Saharan Africa,Low Income Country,216201
418,African Development Foundation,2010,Botswana,Agriculture,Sub-Saharan Africa,Upper Middle Income Country,455418
419,African Development Foundation,2010,Botswana,Economic Growth,Sub-Saharan Africa,Upper Middle Income Country,572195
420,African Development Foundation,2010,Botswana,Other,Sub-Saharan Africa,Upper Middle Income Country,656385
